code,category,value
E02000306,2,1327
E02000306,3,832
E02000306,4,373
E02000306,5,16
E02000308,1,1477
E02000308,2,1117
E02000308,3,496
E02000308,4,125
E02000308,5,11
E02000309,1,1281
E02000309,2,1599
E02000309,3,809
E02000309,4,272
E02000309,5,26
E02000313,1,879
E02000313,2,1012
E02000313,3,513
E02000313,4,165
E02000313,5,26
E02000314,1,1991
E02000314,2,1596
E02000314,3,683
E02000314,4,254
E02000314,5,12
E02000315,1,1227
E02000315,2,1288
E02000315,3,693
E02000315,4,248
E02000315,5,34
E02000318,1,1282
E02000318,2,1314
E02000318,3,718
E02000318,4,248
E02000318,5,19
E02000319,1,1636
E02000319,2,1360
E02000319,3,661
E02000319,4,232
E02000319,5,30
E02000321,1,1014
E02000321,2,1106
E02000321,3,590
E02000321,4,222
E02000321,5,26
E02000323,1,2062
E02000323,2,1699
E02000323,3,763
E02000323,4,266
E02000323,5,30
E02000326,1,1680
E02000326,2,891
E02000326,3,365
E02000326,4,102
E02000326,5,11
E02000328,1,1658
E02000328,2,822
E02000328,3,356
E02000328,4,107
E02000328,5,3
E02000329,1,1040
E02000329,2,871
E02000329,3,399
E02000329,4,140
E02000329,5,12
E02000331,1,1429
E02000331,2,993
E02000331,3,558
E02000331,4,195
E02000331,5,16
E02000332,1,1555
E02000332,2,995
E02000332,3,369
E02000332,4,77
E02000332,5,5
E02000333,1,1727
E02000333,2,797
E02000333,3,282
E02000333,4,69
E02000333,5,8
E02000337,1,1201
E02000337,2,1069
E02000337,3,593
E02000337,4,211
E02000337,5,9
E02000340,1,1513
E02000340,2,998
E02000340,3,422
E02000340,4,83
E02000340,5,4
E02000341,1,1064
E02000341,2,1017
E02000341,3,608
E02000341,4,242
E02000341,5,9
E02000342,1,1106
E02000342,2,724
E02000342,3,379
E02000013,1,1103
E02000013,2,1216
E02000013,3,695
E02000013,4,225
E02000013,5,15
E02000014,1,1177
E02000014,2,1262
E02000014,3,692
E02000014,4,245
E02000014,5,12
E02000017,1,1018
E02000017,2,1086
E02000017,3,473
E02000017,4,180
E02000017,5,8
E02000019,1,1202
E02000019,2,1178
E02000019,3,633
E02000019,4,187
E02000019,5,4
E02000026,1,1392
E02000026,2,744
E02000026,3,316
E02000026,4,51
E02000026,5,7
E02000039,1,1500
E02000039,2,856
E02000039,3,235
E02000039,4,79
E02000039,5,6
E02000046,1,1513
E02000046,2,960
E02000046,3,319
